tconst,title,region,language,primaryTitle,originalTitle,startYear,genres,directors,writers
tt0076254,Golden Seeta,IN,ml,Kanchana Sita,Kanchana Sita,1977.0,"Drama,Fantasy",nm0033244,"nm0033244,nm11292639,nm1033349"
tt0078381,Thambu,IN,ml,Thampu,Thampu,1978.0,Drama,nm0033244,nm0033244
tt0088331,Unaru,IN,ml,Unaroo,Unaroo,1984.0,Drama,nm0711745,nm0845785
tt0093603,Nayakan,IN,ta,Nayakan,Nayakan,1987.0,"Crime,Drama",nm0711745,"nm0049400,nm0707366,nm0711745"
tt0097851,Mathilukal,IN,ml,Mathilukal,Mathilukal,1990.0,"Drama,Romance",nm0329715,"nm0059775,nm0329715"
tt0105575,Devar Magan,IN,ta,Thevar Magan,Thevar Magan,1992.0,"Action,Drama,Romance",nm0080245,nm0352032
tt0107921,Thalai Nagaram,IN,ta,Rajdhani,Rajdhani,1993.0,"Action,Drama",nm0707952,
tt0108329,Thiruda Thiruda,IN,ta,Thiruda Thiruda,Thiruda Thiruda,1993.0,"Action,Crime,Drama",nm0711745,"nm0592794,nm0711745,nm1391608,nm0890060"
tt0116630,Indian,IN,ta,Indian,Indian,1996.0,"Action,Drama,Musical",nm0788171,"nm0788171,nm1391608,nm0837675"
tt0140348,Maha Nadhi,IN,ta,Mahanadi,Mahanadhi,1994.0,"Crime,Drama",nm0080248,"nm0352032,nm10132956"
tt0140534,Sathy Leevathy,IN,ta,Sathi Leelavathi,Sathi Leelavathi,1995.0,"Comedy,Drama",nm0536818,"nm10410739,nm0352032,nm0536818,nm1190372"
tt0154153,Andhanaal,IN,ta,Andha Naal,Andha Naal,1954.0,"Crime,Mystery,Thriller",nm0049336,"nm0049336,nm0781679"
tt0154167,Azhagan,IN,ta,Azhakan,Azhakan,1991.0,"Drama,Romance",nm0049335,nm0049335
tt0154553,Nool Veli,IN,ta,Guppedu Manasu,Guppedu Manasu,1979.0,Drama,nm0049335,"nm0040490,nm0049335"
tt0154566,Harichandra,IN,ta,Harishchandra,Harishchandra,1932.0,,"nm0045943,nm0151543,nm0619630",
tt0154840,Manninte Maril Unartupattu,IN,ml,Manninte Maril,Manninte Maril,1980.0,,nm0045644,nm0619760
tt0154911,Mugila Mallige,IN,kn,Mugila Malligey,Mugila Malligey,1985.0,,nm0049335,"nm0049335,nm1030281"
tt0155204,Shri Naryana Guru,IN,ml,Sree Narayana Guru,Sree Narayana Guru,1985.0,,nm0045644,"nm2156848,nm0667673"
tt0155257,Thappu Thalangal,IN,ta,Thappu Thalangal,Thappu Thalangal,1978.0,Drama,nm0049335,"nm0049335,nm0471468"
tt0155475,Adya Kiranangal,IN,ml,Aadhya Kiranangal,Aadhya Kiranangal,1964.0,,nm0080279,"nm0080270,nm1928714"
tt0155491,Ammeye Kannan,IN,ml,Ammaye Kaanaan,Ammaye Kaanaan,1963.0,,nm0080279,nm12429223
tt0155505,Charithram Aavarthikkunnilla,IN,ml,Appooppan,Appooppan,1976.0,Drama,nm0080279,nm0755421
tt0155506,Arakallan Mukkal Kallan,IN,ml,Arakkallan Mukkallan,Arakkallan Mukkallan,1974.0,,nm0080279,nm1588355
tt0155526,Balyakala Sakhi,IN,ml,Balyakalasakhi,Balyakalasakhi,1967.0,,nm0765881,"nm0059775,nm0765881"
tt0155542,Bhagya Jathakom,IN,ml,Bhagya Jathakam,Bhagya Jathakam,1962.0,Drama,nm0080279,"nm3259882,nm0080279"
tt0155664,Dhavani Kanavugal,IN,ta,Dhavani Kannavukal,Dhavani Kannavukal,1984.0,Drama,nm0080180,
tt0155790,Kakathampurati,IN,ml,Kakka Thamburatti,Kakka Thamburatti,1970.0,,nm0080279,nm0857001
tt0155899,Nayaru Picha Pulival,IN,ml,Nair Pidicha Pulival,Nair Pidicha Pulival,1958.0,,nm0080279,nm0882018
tt0155916,Ningal Enne Communist Akki,IN,ml,Ningalenne Communistaki,Ningalenne Communistaki,1970.0,,nm0080270,nm0080270
tt0155933,Ozhivu Kalam,IN,ml,Ozhivukalam,Ozhivukalam,1985.0,"Drama,Family",nm0080245,nm0655802
tt0155949,Pava Mannippu,IN,ta,Pavunnu Pavanuthan,Pavunnu Pavanuthan,1991.0,,nm0080180,
tt0156053,Savitri,IN,ta,The Wife,Savithri,1980.0,Drama,nm0080245,
tt0156058,Seetha Swayamvaram,IN,ml,Sita Swayamvar,Sita Swayamvar,1976.0,"Adventure,Drama,Fantasy",nm0052677,"nm0611971,nm0764314,nm1747269"
tt0156077,Shyamala Chechi,IN,ml,Shyamalachechi,Shyamalachechi,1965.0,,nm0080279,"nm0080270,nm0080279"
tt0156099,Sreemad Bhagavadgeetha,IN,ml,Sreemadh Bhagwad Geetha,Sreemadh Bhagwad Geetha,1976.0,,nm0080279,"nm0476092,nm1324555"
tt0156107,Sthree,IN,ml,Stree,Stree,1970.0,,nm0080279,"nm0080279,nm1928714"
tt0156167,Veendum Prabhatam,IN,ml,Veendum Prabatham,Veendum Prabatham,1973.0,,nm0080279,nm0857001
tt0156174,Vilakkyu Vaangiya Veena,IN,ml,Vilakkuvangiya Veena,Vilakkuvangiya Veena,1971.0,Drama,nm0080279,nm0857001
tt0156860,Is Education Alone Enough?,IN,ta,Padithal Mattum Podhuma,Padithal Mattum Podhuma,1962.0,"Comedy,Drama",nm0080406,"nm0051855,nm0080406,nm2154515"
tt0156868,Pava Mannippu,IN,ta,Paava Mannippu,Paava Mannippu,1961.0,"Drama,Family",nm0080406,"nm0080406,nm1194078,nm1876198"
tt0157386,Bhagya Devathai,IN,ta,Bhagya Devatha,Bhagya Devatha,1959.0,Action,nm0151192,
tt0179715,Channel Umptee-3,IN,ta,Channel Umptee-3,Channel Umptee-3,1997.0,"Animation,Comedy","nm0672791,nm0433034,nm0781554,nm0372198,nm0777196","nm0059949,nm0313471,nm0005131,nm0262494"
tt0186823,Angeekaarum,IN,ml,Angikaram,Angikaram,1977.0,Drama,nm0765873,nm0792281
